iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2003 2 12 30 -999 -999 -999 -999 -999 3.434 51.921 18.773 100.008 0.0 742.362 -999 361.973 -999 -999 -999 -999 -999 -999 -999
2003 2 13 0 -999 -999 -999 -999 -999 3.166 48.554 20.111 100.004 0.0 844.153 -999 363.423 -999 -999 -999 -999 -999 -999 -999
2003 2 13 30 -999 -999 -999 -999 -999 3.189 47.831 20.233 99.991 0.0 802.019 -999 349.213 -999 -999 -999 -999 -999 -999 -999
2003 2 14 0 -999 -999 -999 -999 -999 3.213 47.117 20.354 99.978 0.0 759.886 -999 335.003 -999 -999 -999 -999 -999 -999 -999
2003 2 14 30 -999 -999 -999 -999 -999 3.164 45.952 20.68 99.948 0.0 741.888 -999 347.081 -999 -999 -999 -999 -999 -999 -999
2003 2 15 0 -999 -999 -999 -999 -999 3.116 44.817 21.005 99.919 0.0 723.89 -999 359.159 -999 -999 -999 -999 -999 -999 -999
2003 2 15 30 -999 -999 -999 -999 -999 3.522 44.526 21.473 99.912 0.0 715.024 -999 352.888 -999 -999 -999 -999 -999 -999 -999
2003 2 16 0 -999 -999 -999 -999 -999 3.928 44.218 21.94 99.905 0.0 706.159 -999 346.617 -999 -999 -999 -999 -999 -999 -999
2003 2 16 30 -999 -999 -999 -999 -999 4.25 44.58 21.8 99.898 0.0 616.881 -999 345.883 -999 -999 -999 -999 -999 -999 -999
2003 2 17 0 -999 -999 -999 -999 -999 4.572 44.945 21.66 99.891 0.0 527.603 -999 345.15 -999 -999 -999 -999 -999 -999 -999
2003 2 17 30 -999 -999 -999 -999 -999 4.848 45.656 21.496 99.922 0.0 442.555 -999 338.306 -999 -999 -999 -999 -999 -999 -999
2003 2 18 0 -999 -999 -999 -999 -999 5.124 46.377 21.332 99.953 0.0 357.507 -999 331.462 -999 -999 -999 -999 -999 -999 -999
2003 2 18 30 -999 -999 -999 -999 -999 5.026 45.853 21.346 99.992 0.0 264.217 -999 328.452 -999 -999 -999 -999 -999 -999 -999
2003 2 19 0 -999 -999 -999 -999 -999 4.929 45.33 21.361 100.03 0.0 170.926 -999 325.441 -999 -999 -999 -999 -999 -999 -999
